country,city,zone,month,year,date,w_supplied,total_consumption,metered,ww_capacity,tests_chlorine,tests_ecoli,tests_conducted_chlorine,test_conducted_ecoli,test_passed_chlorine,tests_passed_ecoli,complaints,resolved,complaint_resolution,sewer_connections,public_toilets,workforce,f_workforce,hh_emptied,fs_treated,fs_reused,ww_collected,ww_treated,ww_reused,households
cameroon,Yaounde,Yaounde 5,3,2020,Mar 2020,261946,643439,41611,11494,200,150,146,115,135,95,622,528,16,1397,60,38,9,7562,21266,13010,12035,8868,7054,33711
cameroon,Yaounde,Yaounde 5,4,2020,Apr 2020,462244,937995,34940,61249,150,150,126,140,120,113,734,671,16,1397,64,38,9,7590,123024,75628,91797,47680,24601,33711
cameroon,Yaounde,Yaounde 5,5,2020,May 2020,308153,669845,47900,24663,100,200,93,191,77,175,323,322,16,1397,61,38,9,6784,47581,35963,25067,19117,13970,33711
cameroon,Yaounde,Yaounde 5,6,2020,Jun 2020,148918,329130,43945,30301,150,150,144,126,140,108,536,514,16,1397,60,41,11,7011,195714,124334,33529,24082,14144,33711
cameroon,Yaounde,Yaounde 5,7,2020,Jul 2020,202500,491129,45531,94062,150,100,145,71,139,68,602,573,16,1397,63,38,9,4946,157924,105871,92340,73743,52712,33711
cameroon,Yaounde,Yaounde 5,8,2020,Aug 2020,303423,695642,45477,94031,100,150,73,130,62,119,602,518,16,1397,62,41,8,8210,101599,70460,96558,74714,57381,33711
cameroon,Yaounde,Yaounde 5,9,2020,Sep 2020,145536,340673,33964,38748,100,100,82,72,70,65,292,273,16,1397,63,39,11,4016,11296,8762,47106,31153,24769,33711
cameroon,Yaounde,Yaounde 5,10,2020,Oct 2020,345791,693564,42244,46125,200,200,160,197,156,179,763,710,16,1397,60,41,10,5490,10452,7681,71172,35828,20345,33711
cameroon,Yaounde,Yaounde 5,11,2020,Nov 2020,260425,642729,44506,6279,150,150,108,146,103,124,698,646,16,1397,60,40,8,5407,39806,28141,7390,5194,3317,33711
cameroon,Yaounde,Yaounde 5,12,2020,Dec 2020,398070,833648,37333,24072,150,150,111,109,101,92,645,595,16,1397,62,41,9,6969,184045,113239,24941,19521,12760,33711
cameroon,Yaounde,Yaounde 6,1,2020,Jan 2020,466542,1090031,83619,35148,150,150,123,109,106,105,756,634,16,4330,76,27,15,6466,51326,36072,42329,29259,20822,61508
cameroon,Yaounde,Yaounde 6,2,2020,Feb 2020,461646,1097236,68692,45798,200,150,172,112,143,106,466,399,16,4330,80,30,12,7844,115301,79087,51848,36426,18288,61508
cameroon,Yaounde,Yaounde 6,3,2020,Mar 2020,373638,879898,75638,24851,100,150,100,107,91,101,622,528,16,4330,78,30,14,10792,147202,93679,26559,19966,14039,61508
cameroon,Yaounde,Yaounde 6,4,2020,Apr 2020,153168,350687,72433,9971,200,150,200,125,189,124,734,671,16,4330,80,30,11,8692,44857,31968,14117,7683,3847,61508
cameroon,Yaounde,Yaounde 6,5,2020,May 2020,325000,695048,68830,41001,200,100,145,80,123,69,323,322,16,4330,77,28,11,11718,185164,142705,43488,33544,24739,61508
cameroon,Yaounde,Yaounde 6,6,2020,Jun 2020,476042,1134137,62307,57983,100,100,77,80,64,75,536,514,16,4330,79,29,11,10592,63775,48503,87850,47954,26568,61508
cameroon,Yaounde,Yaounde 6,7,2020,Jul 2020,305472,672289,85410,43723,200,200,178,161,166,145,602,573,16,4330,78,28,14,10308,168716,123061,66437,33923,17015,61508
cameroon,Yaounde,Yaounde 6,8,2020,Aug 2020,439027,930449,69626,14653,100,150,99,130,92,112,602,518,16,4330,75,30,12,6659,177771,136291,15127,11669,7579,61508
cameroon,Yaounde,Yaounde 6,9,2020,Sep 2020,356265,879052,64229,10369,200,200,174,144,140,129,292,273,16,4330,77,28,11,12291,165371,99466,14317,8162,5295,61508
cameroon,Yaounde,Yaounde 6,10,2020,Oct 2020,450784,1082744,81424,52691,100,100,88,85,73,71,763,710,16,4330,76,30,12,13158,137115,107379,63933,43523,31515,61508
cameroon,Yaounde,Yaounde 6,11,2020,Nov 2020,283358,575195,77482,22409,150,150,112,138,97,122,698,646,16,4330,80,30,15,13621,59247,36728,23804,18127,10627,61508
cameroon,Yaounde,Yaounde 6,12,2020,Dec 2020,113273,243834,82644,35608,150,200,136,193,115,176,645,595,16,4330,80,30,13,6357,111187,67168,36341,28310,17122,61508
cameroon,Yaounde,Yaounde 7,1,2020,Jan 2020,439604,1073490,27500,73809,100,150,88,145,77,144,756,634,16,1932,41,33,6,5089,110217,75730,78344,57546,44402,35264
cameroon,Yaounde,Yaounde 7,2,2020,Feb 2020,194931,455856,32080,49421,100,100,96,94,93,87,466,399,16,1932,44,35,5,4514,181728,121374,56402,39783,20597,35264
cameroon,Yaounde,Yaounde 7,3,2020,Mar 2020,144311,319195,32597,20740,100,100,96,83,83,77,622,528,16,1932,44,32,4,8118,106146,77347,26419,16419,10250,35264
cameroon,Yaounde,Yaounde 7,4,2020,Apr 2020,416435,938461,29107,46806,100,100,96,84,83,74,734,671,16,1932,45,32,5,7709,169888,127501,75135,38024,21451,35264
cameroon,Yaounde,Yaounde 7,5,2020,May 2020,296605,602893,39296,36974,150,200,144,147,125,135,323,322,16,1932,46,32,4,4866,85810,58894,45398,29863,23235,35264
cameroon,Yaounde,Yaounde 7,6,2020,Jun 2020,188997,453249,39512,46877,200,150,157,118,151,108,536,514,16,1932,43,33,5,6014,74724,55426,51827,38110,21843,35264
cameroon,Yaounde,Yaounde 7,7,2020,Jul 2020,447002,952276,33001,27453,100,100,93,87,88,87,602,573,16,1932,42,34,7,3613,150004,107675,36383,21763,12867,35264
cameroon,Yaounde,Yaounde 7,8,2020,Aug 2020,343099,732132,34809,64589,150,200,136,154,114,125,602,518,16,1932,42,32,6,6694,80252,63887,94458,52275,41556,35264
cameroon,Yaounde,Yaounde 7,9,2020,Sep 2020,376129,867296,30789,56624,100,200,93,194,75,181,292,273,16,1932,43,35,8,6008,61684,45656,62793,43648,30500,35264
cameroon,Yaounde,Yaounde 7,10,2020,Oct 2020,405397,987275,29684,58966,150,200,150,192,144,156,763,710,16,1932,44,32,5,7100,174556,108225,87738,47649,25333,35264
cameroon,Yaounde,Yaounde 7,11,2020,Nov 2020,334661,697862,30875,64146,200,200,169,141,146,114,698,646,16,1932,41,34,4,6763,72395,57618,81423,49980,29595,35264
cameroon,Yaounde,Yaounde 7,12,2020,Dec 2020,198330,432437,32945,43262,200,100,182,95,148,80,645,595,16,1932,46,34,8,3838,193573,133726,66515,35810,24117,35264
cameroon,Yaounde,Yaounde 1,1,2021,Jan 2021,192801,446994,247850,36607,200,100,145,71,131,57,404,366,19,18992,74,34,15,31526,165579,115654,49799,29539,14800,255602
cameroon,Yaounde,Yaounde 1,2,2021,Feb 2021,129253,296736,264286,9885,100,100,93,78,86,76,451,415,19,18992,70,33,16,29662,147867,108700,11955,8162,6382,255602
cameroon,Yaounde,Yaounde 1,3,2021,Mar 2021,461963,988274,227357,35695,150,200,130,163,118,133,234,234,19,18992,72,33,14,60954,36087,25723,42076,28154,21460,255602
cameroon,Yaounde,Yaounde 1,4,2021,Apr 2021,324607,697164,212271,31531,200,150,147,139,134,130,782,677,19,18992,72,32,18,27220,162798,120129,41221,24448,12770,255602
cameroon,Yaounde,Yaounde 1,5,2021,May 2021,162662,373440,221501,37014,150,100,127,82,102,78,612,493,19,18992,69,32,14,35452,118513,77657,48305,30679,20897,255602
cameroon,Yaounde,Yaounde 1,6,2021,Jun 2021,238411,540668,216765,10214,150,150,144,112,123,101,326,318,19,18992,72,35,14,28672,47593,34352,10246,8110,6415,255602
cameroon,Yaounde,Yaounde 1,7,2021,Jul 2021,232882,557980,202691,11518,150,150,127,117,109,103,407,358,19,18992,70,32,17,53842,85689,55063,17687,9428,6908,255602
cameroon,Yaounde,Yaounde 1,8,2021,Aug 2021,387872,779371,250808,28397,200,200,190,181,184,152,790,699,19,18992,73,32,18,26295,95051,75933,42475,22101,13342,255602
cameroon,Yaounde,Yaounde 1,9,2021,Sep 2021,326953,766553,242140,60663,100,100,95,96,95,87,327,265,19,18992,73,34,14,43643,104455,64346,79797,47163,33824,255602
cameroon,Yaounde,Yaounde 1,10,2021,Oct 2021,174786,400613,274322,35395,200,150,191,140,156,119,508,424,19,18992,73,34,15,51416,111588,80206,51065,29459,20070,255602
cameroon,Yaounde,Yaounde 1,11,2021,Nov 2021,293350,708027,267339,50731,150,100,136,77,126,63,545,491,19,18992,69,32,18,39269,162255,112982,58634,40773,31572,255602
cameroon,Yaounde,Yaounde 1,12,2021,Dec 2021,164227,329639,289655,45366,100,100,71,70,68,68,286,267,19,18992,72,34,15,62234,190654,123696,65451,35268,27940,255602
cameroon,Yaounde,Yaounde 2,1,2021,Jan 2021,118446,269799,117649,24718,100,200,72,159,65,158,404,366,19,7971,70,38,8,17825,110390,68939,35154,20080,10469,106777
cameroon,Yaounde,Yaounde 2,2,2021,Feb 2021,486764,1138600,103287,13473,100,150,71,135,60,113,451,415,19,7971,71,39,5,21819,152711,101860,14174,10598,6392,106777
cameroon,Yaounde,Yaounde 2,3,2021,Mar 2021,467396,1050455,135019,63020,100,150,80,128,79,104,234,234,19,7971,73,39,6,26167,196395,135636,66140,50667,37284,106777
cameroon,Yaounde,Yaounde 2,4,2021,Apr 2021,187015,396956,105844,40723,200,100,162,89,130,85,782,677,19,7971,72,38,6,13438,24557,18237,57202,33624,24746,106777
cameroon,Yaounde,Yaounde 2,5,2021,May 2021,341202,713203,96985,61209,150,100,120,76,111,70,612,493,19,7971,72,38,9,21923,64756,46428,76143,49820,31605,106777
cameroon,Yaounde,Yaounde 2,6,2021,Jun 2021,216938,486303,120710,26488,150,200,129,162,117,159,326,318,19,7971,71,39,5,13260,162561,112187,28770,20567,15523,106777
cameroon,Yaounde,Yaounde 2,7,2021,Jul 2021,231939,488598,126458,65706,100,150,71,146,64,129,407,358,19,7971,71,39,8,15763,89578,56925,84914,53300,31389,106777
cameroon,Yaounde,Yaounde 2,8,2021,Aug 2021,321397,690738,97456,4295,200,100,167,95,145,87,790,699,19,7971,68,39,6,17983,179084,110388,5294,3459,1902,106777
cameroon,Yaounde,Yaounde 2,9,2021,Sep 2021,172225,410986,130797,19090,200,200,143,172,119,142,327,265,19,7971,72,38,6,19878,166466,119342,20052,15549,8440,106777
cameroon,Yaounde,Yaounde 2,10,2021,Oct 2021,260896,554477,97208,26798,150,200,132,176,124,152,508,424,19,7971,71,38,6,12102,26923,16513,41769,21129,16538,106777
cameroon,Yaounde,Yaounde 2,11,2021,Nov 2021,117403,245714,114205,23293,150,200,107,150,98,137,545,491,19,7971,73,36,9,23043,92510,55680,28579,18284,10975,106777
cameroon,Yaounde,Yaounde 2,12,2021,Dec 2021,373655,886732,101828,11875,150,150,119,121,116,99,286,267,19,7971,71,36,7,15401,19179,13223,17677,9537,7362,106777
cameroon,Yaounde,Yaounde 3,1,2021,Jan 2021,259787,593152,93458,12728,100,150,74,126,72,109,404,366,19,3559,82,48,18,15947,43198,28398,15362,10117,7133,69038
cameroon,Yaounde,Yaounde 3,2,2021,Feb 2021,236104,580816,84151,55115,100,200,83,170,83,157,451,415,19,3559,86,46,16,15926,113991,89459,74333,44310,26710,69038
cameroon,Yaounde,Yaounde 3,3,2021,Mar 2021,250406,575958,76061,64947,150,150,136,142,115,130,234,234,19,3559,87,45,18,10159,197531,133658,79614,51513,38580,69038
cameroon,Yaounde,Yaounde 3,4,2021,Apr 2021,489074,1111549,92273,74357,150,200,144,190,137,173,782,677,19,3559,84,46,16,17027,190682,146885,91277,61799,48449,69038
cameroon,Yaounde,Yaounde 3,5,2021,May 2021,345686,816288,104322,8665,200,100,196,74,167,73,612,493,19,3559,85,45,15,15139,15832,11032,9228,6943,5414,69038
cameroon,Yaounde,Yaounde 3,6,2021,Jun 2021,428710,858428,103408,34119,200,100,182,90,162,84,326,318,19,3559,85,45,17,12026,112839,89683,41038,27348,15155,69038
cameroon,Yaounde,Yaounde 3,7,2021,Jul 2021,380720,928962,82547,66253,200,100,194,88,184,88,407,358,19,3559,82,47,17,8025,141665,88898,95409,53115,33328,69038
cameroon,Yaounde,Yaounde 3,8,2021,Aug 2021,450367,1120323,97382,13608,150,150,147,147,133,136,790,699,19,3559,87,47,18,16900,69591,50433,14848,10912,6678,69038
cameroon,Yaounde,Yaounde 3,9,2021,Sep 2021,453392,1101629,82034,50802,150,200,142,157,124,129,327,265,19,3559,82,45,18,11635,146947,92619,55406,40121,27578,69038
cameroon,Yaounde,Yaounde 3,10,2021,Oct 2021,418979,901088,102990,29055,150,200,128,175,128,157,508,424,19,3559,84,48,18,13494,91658,61263,37700,22424,14400,69038
cameroon,Yaounde,Yaounde 3,11,2021,Nov 2021,331983,739364,99333,71673,200,100,161,91,132,79,545,491,19,3559,83,46,16,9799,126551,97962,87893,57203,37124,69038
cameroon,Yaounde,Yaounde 3,12,2021,Dec 2021,106445,238396,104713,44994,200,150,199,138,173,128,286,267,19,3559,82,48,18,9381,121600,80630,50369,35267,22812,69038
cameroon,Yaounde,Yaounde 4,1,2021,Jan 2021,143074,297775,140186,65111,100,200,88,147,88,145,404,366,19,5041,77,21,7,21293,68623,52648,89397,53078,39401,115134
cameroon,Yaounde,Yaounde 4,2,2021,Feb 2021,157891,392667,111050,74809,150,200,120,199,118,189,451,415,19,5041,74,22,7,13682,49213,34008,76008,57978,34482,115134
cameroon,Yaounde,Yaounde 4,3,2021,Mar 2021,170156,347274,122841,18466,150,100,115,87,114,86,234,234,19,5041,75,22,7,18098,89643,63237,22289,14433,10604,115134
cameroon,Yaounde,Yaounde 4,4,2021,Apr 2021,183678,392910,125927,69112,200,200,168,187,153,165,782,677,19,5041,72,22,7,17161,8038,5454,82771,54719,33329,115134
cameroon,Yaounde,Yaounde 4,5,2021,May 2021,248639,585062,141514,9582,200,100,186,77,167,67,612,493,19,5041,74,21,6,27316,35971,28131,13351,7985,4674,115134
cameroon,Yaounde,Yaounde 4,6,2021,Jun 2021,153777,383281,145485,46359,150,150,146,127,140,110,326,318,19,5041,76,21,5,22694,110090,70618,72969,37095,25847,115134
cameroon,Yaounde,Yaounde 4,7,2021,Jul 2021,457280,1054290,108548,30636,100,200,97,200,92,198,407,358,19,5041,77,23,5,13992,113475,72536,31185,23621,14556,115134
cameroon,Yaounde,Yaounde 4,8,2021,Aug 2021,321548,696094,107054,31460,150,200,149,163,136,149,790,699,19,5041,76,22,6,15818,74790,52220,42516,24826,19693,115134
cameroon,Yaounde,Yaounde 4,9,2021,Sep 2021,173658,385605,140892,9227,200,100,176,77,148,66,327,265,19,5041,72,21,9,25777,153147,117247,12204,7678,4115,115134
cameroon,Yaounde,Yaounde 4,10,2021,Oct 2021,434125,1009480,134684,62882,200,200,191,190,186,160,508,424,19,5041,74,22,9,28385,154851,120193,98613,51465,35121,115134
cameroon,Yaounde,Yaounde 4,11,2021,Nov 2021,148147,369179,155590,63669,150,100,120,96,119,91,545,491,19,5041,72,23,6,27897,162530,117851,69516,50613,31349,115134
cameroon,Yaounde,Yaounde 4,12,2021,Dec 2021,310603,658080,106961,31322,100,150,99,118,88,102,286,267,19,5041,75,22,7,14682,177017,137843,31863,24753,14246,115134
cameroon,Yaounde,Yaounde 5,1,2021,Jan 2021,139138,344773,38036,64879,150,100,110,88,89,85,404,366,19,2550,34,42,17,3838,8446,5419,86164,51337,31280,35219
cameroon,Yaounde,Yaounde 5,2,2021,Feb 2021,311885,724707,42212,4069,200,150,177,125,159,114,451,415,19,2550,30,43,20,8164,14710,8828,5399,3379,1907,35219
cameroon,Yaounde,Yaounde 5,3,2021,Mar 2021,198679,487369,49064,80590,100,100,80,85,74,69,234,234,19,2550,31,43,20,5790,178418,111718,97726,65522,44273,35219
cameroon,Yaounde,Yaounde 5,4,2021,Apr 2021,429984,1019581,49789,77006,150,200,136,144,123,115,782,677,19,2550,30,42,17,5070,133253,86042,76374,60227,47299,35219
cameroon,Yaounde,Yaounde 5,5,2021,May 2021,328979,715204,49289,47055,150,200,126,155,119,146,612,493,19,2550,34,45,18,7315,11952,9499,61106,37005,23535,35219
cameroon,Yaounde,Yaounde 5,6,2021,Jun 2021,446757,1003057,34744,45385,100,150,84,133,79,114,326,318,19,2550,31,43,18,4400,124473,90486,54654,36639,19308,35219
cameroon,Yaounde,Yaounde 5,7,2021,Jul 2021,145011,342394,35816,33053,150,150,129,108,124,90,407,358,19,2550,31,44,17,3861,31644,23042,39943,27241,16398,35219
cameroon,Yaounde,Yaounde 5,8,2021,Aug 2021,472223,1105883,48135,17321,100,100,73,95,62,85,790,699,19,2550,30,44,19,6542,124261,88086,20231,14006,8624,35219
cameroon,Yaounde,Yaounde 5,9,2021,Sep 2021,134290,284224,37640,80705,200,150,162,125,159,104,327,265,19,2550,33,44,20,8406,64660,39324,87485,65068,51119,35219
cameroon,Yaounde,Yaounde 5,10,2021,Oct 2021,442780,1072472,36578,53322,150,200,134,153,130,128,508,424,19,2550,34,45,16,7081,18968,12704,62134,43454,24372,35219
cameroon,Yaounde,Yaounde 5,11,2021,Nov 2021,227162,561460,42267,28694,100,150,89,142,86,128,545,491,19,2550,35,44,20,4220,56432,42327,28858,22288,15059,35219
cameroon,Yaounde,Yaounde 5,12,2021,Dec 2021,145730,293724,48924,34738,150,100,125,73,117,68,286,267,19,2550,33,43,19,7697,41335,29012,46234,27061,16853,35219
cameroon,Yaounde,Yaounde 6,1,2021,Jan 2021,254595,568565,56001,56620,150,150,126,130,107,116,404,366,19,3169,47,37,18,9234,76296,56411,63391,45542,31981,64486
cameroon,Yaounde,Yaounde 6,2,2021,Feb 2021,165274,410435,57980,33078,150,100,113,76,102,61,451,415,19,3169,49,37,20,15509,132036,89339,43384,26677,14936,64486
cameroon,Yaounde,Yaounde 6,3,2021,Mar 2021,327201,745826,58228,21050,200,200,181,176,177,166,234,234,19,3169,49,39,20,13530,77638,58926,26615,17220,11881,64486
cameroon,Yaounde,Yaounde 6,4,2021,Apr 2021,429573,897022,57711,21636,200,100,173,71,162,64,782,677,19,3169,51,39,19,14912,87204,67646,24595,17565,12919,64486
cameroon,Yaounde,Yaounde 6,5,2021,May 2021,304107,609588,65011,85841,100,200,94,190,82,176,612,493,19,3169,46,37,18,11445,118481,79759,96780,66217,46824,64486
cameroon,Yaounde,Yaounde 6,6,2021,Jun 2021,460552,956304,64989,8858,150,150,127,129,117,114,326,318,19,3169,50,36,17,14050,27785,17215,12106,7288,3915,64486
