date_YYMMDD,source,production_m3,service_hours,country,
2020/03/17,Ndindan Reservoir,20824.00,23.67,Cameroon,
2020/03/18,Mvog-Betsi River,22463.00,21.37,Cameroon,
2020/03/19,Mvog-Betsi River,22474.00,20.98,Cameroon,
2020/03/20,Ndindan Reservoir,20919.00,22.26,Cameroon,
2020/03/21,Mvog-Betsi River,22944.00,20.28,Cameroon,
2020/03/22,Mvog-Betsi River,23165.00,23.74,Cameroon,
2020/03/23,Mvog-Betsi River,20528.00,21.52,Cameroon,
2020/03/24,Ndindan Reservoir,23479.00,23.08,Cameroon,
2020/03/25,Mvog-Betsi River,24389.00,21.70,Cameroon,
2020/03/26,Ndindan Reservoir,20146.00,23.33,Cameroon,
2020/03/27,Ndindan Reservoir,22352.00,23.36,Cameroon,
2020/03/28,Ndindan Reservoir,20464.00,22.80,Cameroon,
2020/03/29,Ndindan Reservoir,29161.00,22.96,Cameroon,
2020/03/30,Mvog-Betsi River,27183.00,23.56,Cameroon,
2020/03/31,Mvog-Betsi River,22168.00,22.21,Cameroon,
2020/04/01,Ndindan Reservoir,21974.00,16.73,Cameroon,
2020/04/02,Mvog-Betsi River,25465.00,22.74,Cameroon,
2020/04/03,Ndindan Reservoir,21798.00,23.07,Cameroon,
2020/04/04,Ndindan Reservoir,24972.00,23.06,Cameroon,
2020/04/05,Ndindan Reservoir,23707.00,22.20,Cameroon,
2020/04/06,Ndindan Reservoir,23147.00,21.63,Cameroon,
2020/04/07,Mvog-Betsi River,21217.00,20.72,Cameroon,
2020/04/08,Ndindan Reservoir,24090.00,21.61,Cameroon,
2020/04/09,Ndindan Reservoir,23783.00,20.14,Cameroon,
2020/04/10,Mvog-Betsi River,23407.00,20.22,Cameroon,
2020/04/11,Mvog-Betsi River,21569.00,23.28,Cameroon,
2020/04/12,Ndindan Reservoir,21263.00,21.78,Cameroon,
2020/04/13,Mvog-Betsi River,22896.00,21.61,Cameroon,
2020/04/14,Ndindan Reservoir,24130.00,20.72,Cameroon,
2020/04/15,Mvog-Betsi River,18967.00,20.98,Cameroon,
2020/04/16,Ndindan Reservoir,18559.00,17.73,Cameroon,
2020/04/17,Mvog-Betsi River,21901.00,20.11,Cameroon,
2020/04/18,Mvog-Betsi River,20396.00,20.19,Cameroon,
2020/04/19,Ndindan Reservoir,22943.00,23.72,Cameroon,
2020/04/20,Ndindan Reservoir,26787.00,23.74,Cameroon,
2020/04/21,Ndindan Reservoir,24498.00,12.80,Cameroon,
2020/04/22,Ndindan Reservoir,17139.00,20.13,Cameroon,
2020/04/23,Ndindan Reservoir,24223.00,23.52,Cameroon,
2020/04/24,Mvog-Betsi River,25379.00,22.80,Cameroon,
2020/04/25,Mvog-Betsi River,24464.00,21.92,Cameroon,
2020/04/26,Ndindan Reservoir,31046.00,23.30,Cameroon,
2020/04/27,Ndindan Reservoir,20774.00,21.60,Cameroon,
2020/04/28,Ndindan Reservoir,22351.00,23.81,Cameroon,
2020/04/29,Ndindan Reservoir,24392.00,22.76,Cameroon,
2020/04/30,Mvog-Betsi River,22592.00,23.78,Cameroon,
2020/05/01,Ndindan Reservoir,23187.00,22.50,Cameroon,
2020/05/02,Mvog-Betsi River,17969.00,20.52,Cameroon,
2020/05/03,Ndindan Reservoir,25905.00,20.97,Cameroon,
2020/05/04,Mvog-Betsi River,22227.00,22.02,Cameroon,
2020/05/05,Ndindan Reservoir,17961.00,18.99,Cameroon,
2020/05/06,Ndindan Reservoir,26821.00,23.50,Cameroon,
2020/05/07,Mvog-Betsi River,23197.00,22.17,Cameroon,
2020/05/08,Ndindan Reservoir,26003.00,23.94,Cameroon,
2020/05/09,Mvog-Betsi River,22625.00,22.02,Cameroon,
2020/05/10,Mvog-Betsi River,21650.00,23.75,Cameroon,
2020/05/11,Mvog-Betsi River,23437.00,20.22,Cameroon,
2020/05/12,Mvog-Betsi River,21559.00,20.33,Cameroon,
2020/05/13,Ndindan Reservoir,22847.00,20.45,Cameroon,
2020/05/14,Mvog-Betsi River,19665.00,22.31,Cameroon,
2020/05/15,Mvog-Betsi River,19405.00,21.37,Cameroon,
2020/05/16,Mvog-Betsi River,23661.00,22.04,Cameroon,
2020/05/17,Ndindan Reservoir,21684.00,12.31,Cameroon,
2020/05/18,Ndindan Reservoir,21203.00,23.46,Cameroon,
2020/05/19,Mvog-Betsi River,22293.00,23.46,Cameroon,
2020/05/20,Mvog-Betsi River,20418.00,20.59,Cameroon,
2020/05/21,Mvog-Betsi River,22013.00,21.88,Cameroon,
2020/05/22,Ndindan Reservoir,22843.00,21.36,Cameroon,
2020/05/23,Mvog-Betsi River,25064.00,23.57,Cameroon,
2020/05/24,Mvog-Betsi River,19570.00,17.69,Cameroon,
2020/05/25,Ndindan Reservoir,25260.00,20.31,Cameroon,
2020/05/26,Ndindan Reservoir,21882.00,12.91,Cameroon,
2020/05/27,Ndindan Reservoir,20632.00,20.80,Cameroon,
2020/05/28,Mvog-Betsi River,21613.00,23.80,Cameroon,
2020/05/29,Ndindan Reservoir,24089.00,22.56,Cameroon,
2020/05/30,Mvog-Betsi River,21993.00,22.82,Cameroon,
2020/05/31,Mvog-Betsi River,20800.00,21.25,Cameroon,
2020/06/01,Ndindan Reservoir,20690.00,20.46,Cameroon,
2020/06/02,Mvog-Betsi River,20690.00,22.30,Cameroon,
2020/06/03,Mvog-Betsi River,23909.00,22.08,Cameroon,
2020/06/04,Mvog-Betsi River,20627.00,21.91,Cameroon,
2020/06/05,Mvog-Betsi River,21319.00,20.12,Cameroon,
2020/06/06,Ndindan Reservoir,21297.00,20.52,Cameroon,
2020/06/07,Mvog-Betsi River,23905.00,22.62,Cameroon,
2020/06/08,Mvog-Betsi River,21046.00,21.44,Cameroon,
2020/06/09,Mvog-Betsi River,22938.00,23.39,Cameroon,
2020/06/10,Ndindan Reservoir,21615.00,23.41,Cameroon,
2020/06/11,Ndindan Reservoir,21758.00,22.29,Cameroon,
2020/06/12,Mvog-Betsi River,25175.00,22.87,Cameroon,
2020/06/13,Ndindan Reservoir,24347.00,20.62,Cameroon,
2020/06/14,Mvog-Betsi River,25177.00,23.13,Cameroon,
2020/06/15,Ndindan Reservoir,24101.00,20.12,Cameroon,
2020/06/16,Ndindan Reservoir,22775.00,23.97,Cameroon,
2020/06/17,Mvog-Betsi River,18279.00,19.12,Cameroon,
2020/06/18,Mvog-Betsi River,20587.00,21.12,Cameroon,
2020/06/19,Ndindan Reservoir,24069.00,23.07,Cameroon,
2020/06/20,Ndindan Reservoir,18199.00,17.80,Cameroon,
2020/06/21,Mvog-Betsi River,23924.00,21.88,Cameroon,
2020/06/22,Ndindan Reservoir,24685.00,23.15,Cameroon,
2020/06/23,Ndindan Reservoir,22085.00,23.44,Cameroon,
2020/06/24,Ndindan Reservoir,19769.00,15.54,Cameroon,
2020/06/25,Mvog-Betsi River,20429.00,21.00,Cameroon,
2020/06/26,Ndindan Reservoir,21444.00,23.24,Cameroon,
2020/06/27,Mvog-Betsi River,21448.00,21.25,Cameroon,
2020/06/28,Ndindan Reservoir,22839.00,21.71,Cameroon,
2020/06/29,Mvog-Betsi River,23178.00,21.99,Cameroon,
2020/06/30,Ndindan Reservoir,23643.00,23.91,Cameroon,
2020/07/01,Mvog-Betsi River,23679.00,22.17,Cameroon,
2020/07/02,Ndindan Reservoir,21809.00,20.27,Cameroon,
2020/07/03,Ndindan Reservoir,23364.00,23.74,Cameroon,
2020/07/04,Mvog-Betsi River,18634.00,21.23,Cameroon,
2020/07/05,Mvog-Betsi River,25823.00,20.76,Cameroon,
2020/07/06,Ndindan Reservoir,23407.00,23.68,Cameroon,
2020/07/07,Mvog-Betsi River,22478.00,22.04,Cameroon,
2020/07/08,Mvog-Betsi River,20135.00,20.96,Cameroon,
2020/07/09,Ndindan Reservoir,24823.00,22.15,Cameroon,
2020/07/10,Ndindan Reservoir,23473.00,20.32,Cameroon,
2020/07/11,Mvog-Betsi River,25401.00,20.89,Cameroon,
2020/07/12,Mvog-Betsi River,21515.00,23.01,Cameroon,
2020/07/13,Mvog-Betsi River,24302.00,20.87,Cameroon,
2020/07/14,Ndindan Reservoir,22494.00,21.90,Cameroon,
2020/07/15,Ndindan Reservoir,19578.00,17.42,Cameroon,
2020/07/16,Mvog-Betsi River,21791.00,20.03,Cameroon,
2020/07/17,Ndindan Reservoir,22582.00,21.68,Cameroon,
2020/07/18,Mvog-Betsi River,21935.00,20.03,Cameroon,
2020/07/19,Mvog-Betsi River,19248.00,22.25,Cameroon,
2020/07/20,Ndindan Reservoir,20855.00,22.15,Cameroon,
2020/07/21,Mvog-Betsi River,23450.00,23.10,Cameroon,
2020/07/22,Mvog-Betsi River,25196.00,22.56,Cameroon,
2020/07/23,Ndindan Reservoir,19634.00,18.47,Cameroon,
2020/07/24,Mvog-Betsi River,28110.00,20.70,Cameroon,
2020/07/25,Ndindan Reservoir,24134.00,20.44,Cameroon,
2020/07/26,Ndindan Reservoir,22730.00,23.87,Cameroon,
2020/07/27,Mvog-Betsi River,23447.00,22.80,Cameroon,
2020/07/28,Mvog-Betsi River,21391.00,23.80,Cameroon,
2020/07/29,Mvog-Betsi River,22048.00,21.83,Cameroon,
2020/07/30,Ndindan Reservoir,20988.00,23.92,Cameroon,
2020/07/31,Mvog-Betsi River,21101.00,22.71,Cameroon,
2020/08/01,Ndindan Reservoir,21566.00,22.35,Cameroon,
2020/08/02,Mvog-Betsi River,24056.00,21.55,Cameroon,
2020/08/03,Mvog-Betsi River,21741.00,20.85,Cameroon,
2020/08/04,Mvog-Betsi River,26310.00,21.82,Cameroon,
2020/08/05,Mvog-Betsi River,26095.00,23.00,Cameroon,
2020/08/06,Mvog-Betsi River,21200.00,23.11,Cameroon,
2020/08/07,Mvog-Betsi River,22453.00,22.95,Cameroon,
2020/08/08,Mvog-Betsi River,37572.00,20.33,Cameroon,
2020/08/09,Ndindan Reservoir,20956.00,21.47,Cameroon,
2020/08/10,Mvog-Betsi River,20410.00,23.64,Cameroon,
2020/08/11,Mvog-Betsi River,20720.00,20.50,Cameroon,
2020/08/12,Ndindan Reservoir,21112.00,22.15,Cameroon,
2020/08/13,Mvog-Betsi River,18697.00,21.20,Cameroon,
2020/08/14,Ndindan Reservoir,22080.00,22.28,Cameroon,
2020/08/15,Mvog-Betsi River,25881.00,21.63,Cameroon,
2020/08/16,Mvog-Betsi River,23492.00,23.37,Cameroon,
2020/08/17,Mvog-Betsi River,21728.00,21.60,Cameroon,
2020/08/18,Ndindan Reservoir,19530.00,18.64,Cameroon,
2020/08/19,Ndindan Reservoir,24999.00,21.47,Cameroon,
2020/08/20,Mvog-Betsi River,21969.00,22.09,Cameroon,
2020/08/21,Mvog-Betsi River,20003.00,21.84,Cameroon,
2020/08/22,Ndindan Reservoir,20290.00,22.33,Cameroon,
2020/08/23,Ndindan Reservoir,34125.00,23.95,Cameroon,
2020/08/24,Mvog-Betsi River,23183.00,18.39,Cameroon,
2020/08/25,Mvog-Betsi River,25614.00,21.81,Cameroon,
2020/08/26,Mvog-Betsi River,22968.00,22.25,Cameroon,
2020/08/27,Mvog-Betsi River,18243.00,22.22,Cameroon,
2020/08/28,Ndindan Reservoir,19960.00,22.04,Cameroon,
2020/08/29,Mvog-Betsi River,22645.00,22.46,Cameroon,
2020/08/30,Ndindan Reservoir,21707.00,21.99,Cameroon,
2020/08/31,Ndindan Reservoir,20473.00,20.82,Cameroon,
2020/09/01,Mvog-Betsi River,21184.00,23.45,Cameroon,
2020/09/02,Ndindan Reservoir,24606.00,21.50,Cameroon,
2020/09/03,Ndindan Reservoir,23262.00,23.28,Cameroon,
2020/09/04,Ndindan Reservoir,23153.00,21.71,Cameroon,
2020/09/05,Ndindan Reservoir,20812.00,20.11,Cameroon,
2020/09/06,Ndindan Reservoir,22177.00,23.12,Cameroon,
2020/09/07,Ndindan Reservoir,24676.00,20.04,Cameroon,
2020/09/08,Ndindan Reservoir,22929.00,22.58,Cameroon,
2020/09/09,Mvog-Betsi River,23721.00,21.88,Cameroon,
2020/09/10,Ndindan Reservoir,22654.00,20.71,Cameroon,
2020/09/11,Ndindan Reservoir,19524.00,9.83,Cameroon,
2020/09/12,Mvog-Betsi River,23432.00,23.33,Cameroon,
2020/09/13,Mvog-Betsi River,22696.00,21.04,Cameroon,
2020/09/14,Ndindan Reservoir,29830.00,22.92,Cameroon,
2020/09/15,Mvog-Betsi River,23896.00,21.73,Cameroon,
2020/09/16,Mvog-Betsi River,22289.00,21.04,Cameroon,
2020/09/17,Mvog-Betsi River,21884.00,22.56,Cameroon,
2020/09/18,Ndindan Reservoir,20062.00,12.16,Cameroon,
2020/09/19,Mvog-Betsi River,21766.00,23.45,Cameroon,
2020/09/20,Mvog-Betsi River,28182.00,22.86,Cameroon,
2020/09/21,Mvog-Betsi River,25878.00,23.43,Cameroon,
2020/09/22,Ndindan Reservoir,19818.00,20.27,Cameroon,
2020/09/23,Ndindan Reservoir,20307.00,22.32,Cameroon,
2020/09/24,Ndindan Reservoir,19202.00,19.03,Cameroon,
2020/09/25,Ndindan Reservoir,19279.00,19.79,Cameroon,
2020/09/26,Ndindan Reservoir,24107.00,23.49,Cameroon,
2020/09/27,Mvog-Betsi River,22278.00,23.47,Cameroon,
2020/09/28,Mvog-Betsi River,22280.00,21.95,Cameroon,
2020/09/29,Mvog-Betsi River,16768.00,20.50,Cameroon,
2020/09/30,Mvog-Betsi River,20276.00,21.60,Cameroon,
2020/10/01,Ndindan Reservoir,24402.00,19.93,Cameroon,
2020/10/02,Mvog-Betsi River,21157.00,23.92,Cameroon,
2020/10/03,Ndindan Reservoir,22509.00,20.10,Cameroon,
2020/10/04,Ndindan Reservoir,24023.00,21.72,Cameroon,
2020/10/05,Mvog-Betsi River,22657.00,23.10,Cameroon,
2020/10/06,Ndindan Reservoir,20280.00,14.38,Cameroon,
2020/10/07,Ndindan Reservoir,23557.00,20.66,Cameroon,
2020/10/08,Mvog-Betsi River,23845.00,23.48,Cameroon,
2020/10/09,Ndindan Reservoir,23023.00,20.71,Cameroon,
2020/10/10,Mvog-Betsi River,22594.00,19.75,Cameroon,
2020/10/11,Ndindan Reservoir,22211.00,21.61,Cameroon,
2020/10/12,Ndindan Reservoir,24173.00,21.18,Cameroon,
2020/10/13,Mvog-Betsi River,26848.00,22.65,Cameroon,
2020/10/14,Ndindan Reservoir,22968.00,23.54,Cameroon,
2020/10/15,Mvog-Betsi River,20024.00,20.64,Cameroon,
2020/10/16,Mvog-Betsi River,22615.00,20.43,Cameroon,
2020/10/17,Ndindan Reservoir,28314.00,22.54,Cameroon,
2020/10/18,Ndindan Reservoir,19644.00,20.37,Cameroon,
2020/10/19,Mvog-Betsi River,21589.00,22.24,Cameroon,
2020/10/20,Mvog-Betsi River,23557.00,20.32,Cameroon,
2020/10/21,Mvog-Betsi River,22284.00,23.72,Cameroon,
2020/10/22,Mvog-Betsi River,20614.00,20.75,Cameroon,
2020/10/23,Ndindan Reservoir,21045.00,22.50,Cameroon,
2020/10/24,Mvog-Betsi River,21816.00,23.03,Cameroon,
2020/10/25,Ndindan Reservoir,23145.00,23.42,Cameroon,
2020/10/26,Ndindan Reservoir,18889.00,18.15,Cameroon,
2020/10/27,Mvog-Betsi River,21644.00,20.68,Cameroon,
2020/10/28,Ndindan Reservoir,23353.00,21.33,Cameroon,
2020/10/29,Ndindan Reservoir,21729.00,20.54,Cameroon,
2020/10/30,Mvog-Betsi River,22715.00,22.53,Cameroon,
2020/10/31,Mvog-Betsi River,21207.00,22.48,Cameroon,
2020/11/01,Ndindan Reservoir,22890.00,21.68,Cameroon,
2020/11/02,Mvog-Betsi River,22342.00,23.88,Cameroon,
2020/11/03,Mvog-Betsi River,19836.00,18.03,Cameroon,
2020/11/04,Ndindan Reservoir,23504.00,22.21,Cameroon,
2020/11/05,Ndindan Reservoir,23782.00,23.55,Cameroon,
2020/11/06,Ndindan Reservoir,22738.00,21.37,Cameroon,
2020/11/07,Mvog-Betsi River,22928.00,23.13,Cameroon,
2020/11/08,Mvog-Betsi River,22852.00,22.31,Cameroon,
2020/11/09,Mvog-Betsi River,24037.00,22.77,Cameroon,
2020/11/10,Mvog-Betsi River,19914.00,19.56,Cameroon,
2020/11/11,Mvog-Betsi River,20826.00,23.32,Cameroon,
2020/11/12,Mvog-Betsi River,23183.00,21.48,Cameroon,
2020/11/13,Mvog-Betsi River,22957.00,20.43,Cameroon,
2020/11/14,Ndindan Reservoir,22640.00,20.17,Cameroon,
2020/11/15,Ndindan Reservoir,22556.00,20.28,Cameroon,
2020/11/16,Mvog-Betsi River,15125.00,18.28,Cameroon,
2020/11/17,Mvog-Betsi River,23063.00,22.60,Cameroon,
2020/11/18,Ndindan Reservoir,22991.00,20.90,Cameroon,
2020/11/19,Ndindan Reservoir,20870.00,21.44,Cameroon,
2020/11/20,Ndindan Reservoir,25375.00,21.61,Cameroon,
2020/11/21,Mvog-Betsi River,25178.00,22.38,Cameroon,
2020/11/22,Ndindan Reservoir,23274.00,21.22,Cameroon,
2020/11/23,Mvog-Betsi River,26824.00,20.67,Cameroon,
2020/11/24,Mvog-Betsi River,23782.00,22.01,Cameroon,
2020/11/25,Mvog-Betsi River,22022.00,22.04,Cameroon,
2020/11/26,Mvog-Betsi River,17800.00,20.83,Cameroon,
2020/11/27,Ndindan Reservoir,23894.00,22.67,Cameroon,
2020/11/28,Mvog-Betsi River,22506.00,21.22,Cameroon,
2020/11/29,Ndindan Reservoir,23926.00,22.72,Cameroon,
2020/11/30,Ndindan Reservoir,21701.00,21.68,Cameroon,
2020/12/01,Mvog-Betsi River,19782.00,20.80,Cameroon,
2020/12/02,Mvog-Betsi River,23395.00,21.19,Cameroon,
2020/12/03,Ndindan Reservoir,24825.00,22.08,Cameroon,
2020/12/04,Mvog-Betsi River,20024.00,21.72,Cameroon,
2020/12/05,Mvog-Betsi River,19972.00,19.37,Cameroon,
2020/12/06,Mvog-Betsi River,24928.00,22.89,Cameroon,
2020/12/07,Ndindan Reservoir,23024.00,20.91,Cameroon,
2020/12/08,Ndindan Reservoir,20490.00,13.01,Cameroon,
2020/12/09,Ndindan Reservoir,18874.00,20.66,Cameroon,
2020/12/10,Ndindan Reservoir,23946.00,23.42,Cameroon,
2020/12/11,Ndindan Reservoir,19257.00,21.71,Cameroon,
2020/12/12,Mvog-Betsi River,26221.00,20.97,Cameroon,
2020/12/13,Ndindan Reservoir,21814.00,23.68,Cameroon,
2020/12/14,Ndindan Reservoir,22758.00,23.96,Cameroon,
2020/12/15,Ndindan Reservoir,22215.00,21.81,Cameroon,
2020/12/16,Ndindan Reservoir,22323.00,21.25,Cameroon,
2020/12/17,Mvog-Betsi River,18538.00,20.12,Cameroon,
2020/12/18,Ndindan Reservoir,20592.00,21.96,Cameroon,
2020/12/19,Mvog-Betsi River,24661.00,20.44,Cameroon,
2020/12/20,Mvog-Betsi River,22057.00,20.63,Cameroon,
2020/12/21,Ndindan Reservoir,23779.00,22.14,Cameroon,
2020/12/22,Mvog-Betsi River,20749.00,19.44,Cameroon,
2020/12/23,Ndindan Reservoir,22055.00,21.54,Cameroon,
2020/12/24,Mvog-Betsi River,22300.00,20.72,Cameroon,
2020/12/25,Ndindan Reservoir,25272.00,22.79,Cameroon,
2020/12/26,Mvog-Betsi River,22047.00,20.03,Cameroon,
2020/12/27,Mvog-Betsi River,24635.00,20.95,Cameroon,
2020/12/28,Ndindan Reservoir,27045.00,20.18,Cameroon,
2020/12/29,Ndindan Reservoir,21322.00,20.41,Cameroon,
2020/12/30,Mvog-Betsi River,23786.00,21.61,Cameroon,
2020/12/31,Ndindan Reservoir,21077.00,23.17,Cameroon,
2021/01/01,Ndindan Reservoir,21499.00,21.67,Cameroon,
2021/01/02,Ndindan Reservoir,21687.00,21.57,Cameroon,
2021/01/03,Mvog-Betsi River,21889.00,23.34,Cameroon,
2021/01/04,Mvog-Betsi River,18724.00,20.19,Cameroon,
2021/01/05,Ndindan Reservoir,22284.00,21.00,Cameroon,
2021/01/06,Ndindan Reservoir,22209.00,23.86,Cameroon,
2021/01/07,Ndindan Reservoir,19160.00,22.71,Cameroon,
2021/01/08,Mvog-Betsi River,25030.00,23.52,Cameroon,
2021/01/09,Ndindan Reservoir,21336.00,11.71,Cameroon,
2021/01/10,Ndindan Reservoir,21604.00,22.55,Cameroon,
2021/01/11,Mvog-Betsi River,21928.00,22.29,Cameroon,
2021/01/12,Mvog-Betsi River,23074.00,23.68,Cameroon,
2021/01/13,Ndindan Reservoir,21678.00,23.92,Cameroon,
2021/01/14,Ndindan Reservoir,22645.00,21.22,Cameroon,
2021/01/15,Mvog-Betsi River,20913.00,21.59,Cameroon,
2021/01/16,Mvog-Betsi River,25980.00,21.88,Cameroon,
2021/01/17,Ndindan Reservoir,22674.00,21.03,Cameroon,
2021/01/18,Ndindan Reservoir,24277.00,21.37,Cameroon,
2021/01/19,Mvog-Betsi River,19873.00,18.31,Cameroon,
2021/01/20,Mvog-Betsi River,22447.00,21.28,Cameroon,
2021/01/21,Ndindan Reservoir,20175.00,23.19,Cameroon,
2021/01/22,Ndindan Reservoir,21146.00,21.28,Cameroon,
2021/01/23,Ndindan Reservoir,22810.00,23.65,Cameroon,
2021/01/24,Ndindan Reservoir,22494.00,22.17,Cameroon,
2021/01/25,Ndindan Reservoir,23392.00,22.74,Cameroon,
2021/01/26,Mvog-Betsi River,17937.00,20.90,Cameroon,
2021/01/27,Ndindan Reservoir,25181.00,20.11,Cameroon,
2021/01/28,Ndindan Reservoir,22138.00,20.99,Cameroon,
2021/01/29,Mvog-Betsi River,23188.00,20.86,Cameroon,
2021/01/30,Mvog-Betsi River,20738.00,22.89,Cameroon,
2021/01/31,Ndindan Reservoir,22797.00,20.22,Cameroon,
2021/02/01,Mvog-Betsi River,24219.00,20.19,Cameroon,
2021/02/02,Ndindan Reservoir,21317.00,22.38,Cameroon,
2021/02/03,Ndindan Reservoir,22291.00,24.00,Cameroon,
2021/02/04,Mvog-Betsi River,20416.00,22.22,Cameroon,
2021/02/05,Ndindan Reservoir,23687.00,21.75,Cameroon,
2021/02/06,Ndindan Reservoir,20136.00,22.30,Cameroon,
2021/02/07,Mvog-Betsi River,22992.00,20.01,Cameroon,
2021/02/08,Ndindan Reservoir,24689.00,21.57,Cameroon,
2021/02/09,Mvog-Betsi River,19778.00,19.12,Cameroon,
2021/02/10,Mvog-Betsi River,26647.00,21.64,Cameroon,
2021/02/11,Mvog-Betsi River,20189.00,22.26,Cameroon,
2021/02/12,Mvog-Betsi River,22456.00,22.55,Cameroon,
2021/02/13,Ndindan Reservoir,20450.00,21.34,Cameroon,
